Business name,Business category,Full address,Phone number (if available),Website URL,Star rating,Total number of reviews,Business location
Bar.Kar KL Restaurant,Restaurant,"· NO. 199, SUITES G-06, GROUND FLOOR, BAR.KAR KL RESTAURANT, G Tower, Jln Tun Razak",N/A,https://www.google.com/maps/place/Bar.Kar+KL+Restaurant/data=!4m7!3m6!1s0x31cc37a1397e031d:0x50d7531825625b44!8m2!3d3.1591153!4d101.719729!16s%2Fg%2F11vlzgfc4k!19sChIJHQN-OaE3zDERRFtiJRhT11A?authuser=0&hl=en&rclk=1,4.6,"1,959",Kuala Lumpur
Sarastro KL by Millennium,Restaurant,"· 8th Floor, Tribeca Serviced Hotel, 215, Jln Imbi",N/A,https://www.google.com/maps/place/Sarastro+KL+by+Millennium/data=!4m7!3m6!1s0x31cc37c29118016f:0xef281898bfa81b34!8m2!3d3.1463572!4d101.7158729!16s%2Fg%2F11y2dgm4cg!19sChIJbwEYkcI3zDERNBuov5gYKO8?authuser=0&hl=en&rclk=1,4.8,686,Kuala Lumpur
Poblano Kl,Latin American,"· Old Malaya, Lot 4, Lorong Raja Chulan",N/A,https://www.google.com/maps/place/Poblano+Kl/data=!4m7!3m6!1s0x31cc49be03a4c1e5:0x5343adc2a84334b5!8m2!3d3.1505649!4d101.7043095!16s%2Fg%2F11s96f30wf!19sChIJ5cGkA75JzDERtTRDqMKtQ1M?authuser=0&hl=en&rclk=1,4.9,"2,828",Kuala Lumpur
UpperDeck KL,Restaurant,Open · Closes 3 pm · Reopens 5:30 pm,N/A,https://www.google.com/maps/place/UpperDeck+KL/data=!4m7!3m6!1s0x31cc49a4dc9b8e3b:0x99c2acf81c8705e6!8m2!3d3.140819!4d101.6982015!16s%2Fg%2F11t7p59m1b!19sChIJO46b3KRJzDER5gWHHPiswpk?authuser=0&hl=en&rclk=1,4.7,921,Kuala Lumpur
Come On Tigers Restaurant Kuala Lumpur,Restaurant,N/A,N/A,https://www.google.com/maps/place/Come+On+Tigers+Restaurant+Kuala+Lumpur/data=!4m7!3m6!1s0x31cc37c2ee955bdd:0x8bebaf0edf0b7a46!8m2!3d3.1583282!4d101.7144929!16s%2Fg%2F11s40kbj55!19sChIJ3VuV7sI3zDERRnoL3w6v64s?authuser=0&hl=en&rclk=1,4.7,169,Kuala Lumpur
Les Bouchons Kuala Lumpur • Jalan Mayang,Steak,"· First Floor, Lot 183, Jalan Mayang, Off, Jalan Yap Kwan Seng",N/A,https://www.google.com/maps/place/Les+Bouchons+Kuala+Lumpur+%E2%80%A2+Jalan+Mayang/data=!4m7!3m6!1s0x31cc3729b5666a6d:0xdab61b7720392f63!8m2!3d3.16039!4d101.7112716!16s%2Fg%2F11v0j8bnxj!19sChIJbWpmtSk3zDERYy85IHcbtto?authuser=0&hl=en&rclk=1,4.7,611,Kuala Lumpur
Kampai KLCC,Fine Dining,"· Lot 139, First Floor, Park Side",N/A,https://www.google.com/maps/place/Kampai+KLCC/data=!4m7!3m6!1s0x31cc3715b578e26b:0x102147958a342dbc!8m2!3d3.157223!4d101.7131014!16s%2Fg%2F11lcktgbs5!19sChIJa-J4tRU3zDERvC00ipVHIRA?authuser=0&hl=en&rclk=1,4.8,619,Kuala Lumpur
Irama Dining Kuala Lumpur,Malaysian,"· No 66-68, Lot 2, Lorong Raja Chulan",N/A,https://www.google.com/maps/place/Irama+Dining+Kuala+Lumpur/data=!4m7!3m6!1s0x31cc491cf81fb4f1:0xb4bf5c176fee2f0a!8m2!3d3.150514!4d101.704334!16s%2Fg%2F11tf12n2jn!19sChIJ8bQf-BxJzDERCi_ubxdcv7Q?authuser=0&hl=en&rclk=1,4.6,815,Kuala Lumpur
Makan Kitchen • DoubleTree by Hilton Kuala Lumpur,· $$$,"· Level 11, Makan Kitchen, DoubleTree by Hilton, The Intermark, 348, Jln Tun Razak",N/A,https://www.google.com/maps/place/Makan+Kitchen+%E2%80%A2+DoubleTree+by+Hilton+Kuala+Lumpur/data=!4m7!3m6!1s0x31cc37c56778d91b:0x36107c73a41b4799!8m2!3d3.1608817!4d101.7202951!16s%2Fg%2F1td6pq_h!19sChIJG9l4Z8U3zDERmUcbpHN8EDY?authuser=0&hl=en&rclk=1,4.6,"1,648",Kuala Lumpur
Reuben's KL,Restaurant,N/A,N/A,https://www.google.com/maps/place/Reuben%27s+KL/data=!4m7!3m6!1s0x31cc37db0ee14ba5:0x2927c8edfd61a618!8m2!3d3.1480677!4d101.708795!16s%2Fg%2F11w8dlp7nq!19sChIJpUvhDts3zDERGKZh_e3IJyk?authuser=0&hl=en&rclk=1,4.9,756,Kuala Lumpur
